client_id,path,sentence_id,sentence,sentence_domain,up_votes,down_votes,age,gender,accents,variant,locale,segment
075b69bf4307efe9120a1006293a1f75ce57f6963d76941f81497c6f225278cef73c2987b5ce3f530fc9a92a7a01e41555e33f81c4e6be0d82bcf19b61f2450a,common_voice_ko_39813694.wav,94aa192576b4ae9103b280894665b8b5b97d69790b3e018ac106a0b4e8cd74e3,그러면 땅도 파보고 농부들과 함께 아무것이라도 배워 가면서 할 것 같았다.,,2,0,,,,,ko,
0b582f6932d6c01553ac1fff7a2bbedaa3ed0fb23bf24ca235367e79e7e336247554626b88bc5644c83398cffdc0fbb354a74b1c082fe8ce787868be824a3e32,common_voice_ko_40549570.wav,919eeb681f1c216b09537ccc86ab3d0854a62f618d7d63403714d4f500a98145,그런데 여보게,,2,0,,,,,ko,
0e3746855fb28928a14ba7825f07facbb8acd4b3203f92e172a02ef751c5e80d146ec250154f688cfa1babbb65e6046dbeecaca7f08e82170edc0cf20338c9fd,common_voice_ko_41342328.wav,1658463a8eef1e8dffeec1620797a0fa189a8e013ccc2e1f70aad5f1038e1a9e,말했잖아요.,,2,0,teens,female_feminine,,,ko,
1652873c9589b2a2154356da27058660dbcb6f45d4e307baa062adb33afa02a2a200826b8fec23762a0c2d7cde7c4c25cfdaa9f088a4cca06b7a50ca9ba81a84,common_voice_ko_41742890.wav,ae2e94478468bee81e6eae833ef00617cfda411080772c90fb67423c116b2d4e,갔다가 그저 오기가 안됐데그려.,,2,0,twenties,,,,ko,
20018ecf222cd8726f3725dafffc6893736b7dc13833a585b6924bf9a8e104928729531143b7fb1301a3ec30c80b96fa09bbae6edcde711684f3c3bf13c73b3a,common_voice_ko_36838360.wav,4b6b0cdf7775b48ff05757d180417439b96ecaee3529630d00d399031684511e,선비는 생각지 않은 이 말에 앞이 아뜩해지며 방 안이 핑핑 돌았다.,,2,1,,,차분함,,ko,
3ccbdc41985db28d32d1dc50def93f6e443b3154ca8f157d7585a331731d0704941262a4269cb8256cf64a27c20a6a39dcee185c14d9b2332941836ef206f278,common_voice_ko_41074506.wav,9a6f42515a6aa627c36580ae0b79e799d56e15ecffd59af5b982915ea6b4ef8f,라멕이 두 아내를 취하였으니 하나의 이름은 아다요 하나의 이름은 씰라며,,6,0,,,"clear,fast",,ko,
65d82a7ee8913ad67360b555b9a8192055bd2701a18e10a4092177277dc566fc54c3a65f79111e3294df8ba2a1a0c95e70bd6df6311ec620c4685b04fbb86db2,common_voice_ko_39595866.wav,89a2a9d39f47d7337fc9446dccdd09152b26e3149f9553b2607145898c6ea5e7,영신이도 일이나 하려고 들어가는 사람처럼 일어섰다.,,2,0,,,,,ko,
730a47e94e0fd1e344da6a12725074235714b9aeadcae2f164a0132d461f46e9193c7e5a4feb6ec9da3e5d3b7b220cb112e3806ab1fe2f876575ba509366087f,common_voice_ko_41797204.wav,36837047ead7e2dcd0497559be1e084ad5e55c9665a7aa3bb6b14a243740cfba,기억해.,,2,0,twenties,,,,ko,
7dfbc5b7d63e3fb4b0f7af13d024bad80ed8484222f937b71f58bf97d0c954be0182b6ff61a9acf7b0b549825dc6115227cfc01f3fc5d051c134808e3cac624b,common_voice_ko_37253548.wav,6d5ca42549be522df790ae5a02092c7f5ce8163add42983210d62ceb4c5f5bd2,국밥집 부인은 이십 전을 마저 주었으면 하는 눈치를 뻔히 보였다.,,2,0,,,,,ko,
832e171301367131ad9deffaab1d5a1002422b9f03697260ad7b33b91d40698cb6bbe0126add010970580e209068f781be3aafa561e5fcae0aece23971ae4498,common_voice_ko_36800708.wav,4f5f8d8db14f8b9bac399e38c0bcee32aba66d10448dcd3725b9d2331b253ff9,민수는 지갑 속에서 돈을 내어 덕호 앞으로 밀어 놓았다.,,2,0,,,사투리가 조금 있는,,ko,
860ca12957087912f999ce357cf6313da14b7068626ad8989e0ecb3e890efdd37bcf72cdceefeda2087aaf94db5109982925873d92b2fb28613888f8ff90c0ea,common_voice_ko_40057469.wav,6e5f4e7faf50d9ee2826ec127ae256966d3629e0bda21b63a9804fb257427fd7,물 흐르는 옷에서 어슬어슬 한기가 솟아나기 비롯하며,,2,0,,,충청도,,ko,
9908fbc0e8942b281cdcd0e2909405395127c4e225e7591ca5d8e7c726bb7bfa1a1cd41b1d50340dd5b34ab8773887f0cc2d194287caf6cf2230e01f89a31f79,common_voice_ko_37532459.wav,5293ae0fe020e9aabdb5df214f9f412f3932b08bd58d2cdc76e280240b55436e,지수 언니는 어디 가?,,2,0,,,,,ko,
9914faa41f85b64b2ffeca3b2edd58269533f5cf04209b1032b181ff2018757c3b0f84cc3b59398c4bfa9b610a8cb4ecdd21d57bbf94024ec7adf2144412ee81,common_voice_ko_40425525.wav,599cb0f2acd5068f82145dadd02cf60ce54aee23f50bca353b218c4a2bfbe2f2,그것은 물론 시급히 닥쳐오는 문제는 아니었다.,,2,0,,,,,ko,
a17cbdf899c0da0545fbf131dc458b495d04ded0135e8de9952b9faee69bd31c783ff2db6a848417ef91acad044faa7dc9b9d1803c7567945e958dea9445d3ff,common_voice_ko_41105402.wav,6a74b989ffc23f97644e3cd239d87365c41af0471bc3d02fedc182bfd99fbf48,이리 걸어오는 동안에 마포 다니는 전차 소리가 들리었다.,,2,0,thirties,male_masculine,,,ko,
