clip	duration[ms]
common_voice_ko_39476326.mp3	5616
common_voice_ko_36899476.mp3	6588
common_voice_ko_41595578.mp3	2844
common_voice_ko_38998472.mp3	4788
common_voice_ko_36802414.mp3	3780
common_voice_ko_41704622.mp3	1872
common_voice_ko_37211952.mp3	4860
common_voice_ko_41797230.mp3	2160
common_voice_ko_37159832.mp3	7416
common_voice_ko_38998784.mp3	2880
common_voice_ko_35904924.mp3	6840
common_voice_ko_36984496.mp3	9828
common_voice_ko_36899333.mp3	8496
common_voice_ko_39968131.mp3	7812
common_voice_ko_41797285.mp3	3096
common_voice_ko_41697964.mp3	8640
common_voice_ko_35844294.mp3	9900
common_voice_ko_38203570.mp3	4356
common_voice_ko_41310014.mp3	4068
common_voice_ko_41105340.mp3	3708
common_voice_ko_36890381.mp3	3600
common_voice_ko_40482184.mp3	3168
common_voice_ko_40495325.mp3	6624
common_voice_ko_35971277.mp3	8928
common_voice_ko_41105387.mp3	2268
common_voice_ko_39082204.mp3	3816
common_voice_ko_35892031.mp3	7344
common_voice_ko_40620799.mp3	5400
common_voice_ko_37211935.mp3	5040
common_voice_ko_41704534.mp3	2664
common_voice_ko_39809162.mp3	4068
common_voice_ko_35890676.mp3	7920
common_voice_ko_37195149.mp3	7704
common_voice_ko_35892026.mp3	8136
common_voice_ko_40057462.mp3	5220
common_voice_ko_39161652.mp3	6660
common_voice_ko_35845746.mp3	9540
common_voice_ko_39046403.mp3	3600
common_voice_ko_40623952.mp3	4176
common_voice_ko_39046812.mp3	2088
common_voice_ko_38998622.mp3	4680
common_voice_ko_35969720.mp3	6264
common_voice_ko_41869337.mp3	5544
common_voice_ko_35891445.mp3	7992
common_voice_ko_39082061.mp3	4176
common_voice_ko_36524900.mp3	5256
common_voice_ko_36880223.mp3	4716
common_voice_ko_36880070.mp3	6588
common_voice_ko_41667865.mp3	3528
common_voice_ko_36899432.mp3	9396
common_voice_ko_39082124.mp3	5076
common_voice_ko_36549548.mp3	7056
common_voice_ko_41342318.mp3	8028
common_voice_ko_39809136.mp3	5652
common_voice_ko_39744925.mp3	4356
common_voice_ko_41665058.mp3	7380
common_voice_ko_36899454.mp3	7560
common_voice_ko_35969102.mp3	4716
common_voice_ko_38998648.mp3	2988
common_voice_ko_36985048.mp3	7776
common_voice_ko_41341839.mp3	2808
common_voice_ko_35891713.mp3	5472
common_voice_ko_41667911.mp3	4068
common_voice_ko_42194367.mp3	4140
common_voice_ko_38600939.mp3	2988
common_voice_ko_36899374.mp3	8676
common_voice_ko_41797721.mp3	2016
common_voice_ko_36880396.mp3	3528
common_voice_ko_39046579.mp3	5076
common_voice_ko_36314612.mp3	2268
common_voice_ko_41797025.mp3	2016
common_voice_ko_35923177.mp3	4032
common_voice_ko_42605327.mp3	3564
common_voice_ko_36314701.mp3	3096
common_voice_ko_35969127.mp3	8460
common_voice_ko_36314609.mp3	2916
common_voice_ko_41036340.mp3	4176
common_voice_ko_41667880.mp3	4968
common_voice_ko_36545221.mp3	7380
common_voice_ko_38998491.mp3	2628
common_voice_ko_36880184.mp3	4608
common_voice_ko_42246373.mp3	2736
common_voice_ko_39765467.mp3	4212
common_voice_ko_36899430.mp3	9504
common_voice_ko_39476341.mp3	6408
common_voice_ko_39744819.mp3	2700
common_voice_ko_36899441.mp3	10188
common_voice_ko_40549091.mp3	4968
common_voice_ko_41342296.mp3	3600
common_voice_ko_41742946.mp3	2448
common_voice_ko_36474944.mp3	9000
common_voice_ko_35970161.mp3	6444
common_voice_ko_38998635.mp3	3780
common_voice_ko_35970433.mp3	9864
common_voice_ko_36835723.mp3	5400
common_voice_ko_37211927.mp3	5508
common_voice_ko_41799579.mp3	3024
common_voice_ko_39038188.mp3	4680
common_voice_ko_41664505.mp3	5976
common_voice_ko_35848221.mp3	10404
common_voice_ko_38203271.mp3	4896
common_voice_ko_39809163.mp3	2988
common_voice_ko_39968132.mp3	7452
common_voice_ko_41742991.mp3	4536
common_voice_ko_38203436.mp3	5796
common_voice_ko_35846616.mp3	4356
common_voice_ko_36331014.mp3	3996
common_voice_ko_36890353.mp3	7956
common_voice_ko_41595589.mp3	2664
common_voice_ko_41665083.mp3	5688
common_voice_ko_36525166.mp3	6048
common_voice_ko_36984606.mp3	8352
common_voice_ko_36890638.mp3	7848
common_voice_ko_35846331.mp3	5616
common_voice_ko_41797625.mp3	3240
common_voice_ko_36549629.mp3	6300
common_voice_ko_41664999.mp3	2700
common_voice_ko_38998445.mp3	2052
common_voice_ko_41698180.mp3	9756
common_voice_ko_39745152.mp3	6048
common_voice_ko_41761898.mp3	2880
common_voice_ko_41704563.mp3	2952
common_voice_ko_35848272.mp3	7704
common_voice_ko_40669644.mp3	6120
common_voice_ko_41742787.mp3	2628
common_voice_ko_39745231.mp3	5868
common_voice_ko_39745086.mp3	7776
common_voice_ko_41797338.mp3	3456
common_voice_ko_35970252.mp3	9072
common_voice_ko_41698133.mp3	6228
common_voice_ko_36880399.mp3	3240
common_voice_ko_36890640.mp3	6624
common_voice_ko_35844028.mp3	7884
common_voice_ko_36314643.mp3	3780
common_voice_ko_41105350.mp3	4968
common_voice_ko_36880169.mp3	5400
common_voice_ko_36984974.mp3	6156
common_voice_ko_40549096.mp3	3888
common_voice_ko_36880122.mp3	7236
common_voice_ko_36880322.mp3	6840
common_voice_ko_37439348.mp3	3132
common_voice_ko_36899453.mp3	10044
common_voice_ko_37195159.mp3	7704
common_voice_ko_41105331.mp3	6840
common_voice_ko_41665088.mp3	5976
common_voice_ko_35971984.mp3	6048
common_voice_ko_36890313.mp3	7308
common_voice_ko_35892125.mp3	9792
common_voice_ko_39745164.mp3	6336
common_voice_ko_35846510.mp3	2808
common_voice_ko_36545233.mp3	7704
common_voice_ko_41665014.mp3	2988
common_voice_ko_36880273.mp3	4068
common_voice_ko_36985216.mp3	9828
common_voice_ko_35971276.mp3	6228
common_voice_ko_41742816.mp3	6660
common_voice_ko_38998419.mp3	7488
common_voice_ko_36880127.mp3	3348
common_voice_ko_35969213.mp3	9612
common_voice_ko_41704639.mp3	2052
common_voice_ko_35965276.mp3	7776
common_voice_ko_41595403.mp3	2844
common_voice_ko_36984986.mp3	9972
common_voice_ko_36880422.mp3	4320
common_voice_ko_41341821.mp3	9288
common_voice_ko_39082224.mp3	3996
common_voice_ko_35922928.mp3	4536
common_voice_ko_38998650.mp3	5112
common_voice_ko_35971976.mp3	4212
common_voice_ko_42135422.mp3	3240
common_voice_ko_36525300.mp3	8712
common_voice_ko_39081987.mp3	6768
common_voice_ko_41664513.mp3	3204
common_voice_ko_41797043.mp3	2160
common_voice_ko_41697954.mp3	6120
common_voice_ko_41667951.mp3	5076
common_voice_ko_35923129.mp3	6732
common_voice_ko_40549145.mp3	2268
common_voice_ko_37439345.mp3	3708
common_voice_ko_39765460.mp3	6588
common_voice_ko_41704547.mp3	2232
common_voice_ko_36899433.mp3	9720
common_voice_ko_40549473.mp3	3420
common_voice_ko_38203296.mp3	4500
common_voice_ko_35969164.mp3	9360
common_voice_ko_39744924.mp3	5508
common_voice_ko_41595606.mp3	2520
common_voice_ko_40495273.mp3	3096
common_voice_ko_36525278.mp3	6444
common_voice_ko_36394272.mp3	6768
common_voice_ko_36549594.mp3	3888
common_voice_ko_36524928.mp3	7668
common_voice_ko_36314695.mp3	2088
common_voice_ko_42135187.mp3	12168
common_voice_ko_41742997.mp3	4356
common_voice_ko_36880414.mp3	3708
common_voice_ko_39769917.mp3	4824
common_voice_ko_41794663.mp3	6696
common_voice_ko_36524879.mp3	5328
common_voice_ko_37195222.mp3	8424
common_voice_ko_36880416.mp3	5400
common_voice_ko_41667660.mp3	9540
common_voice_ko_41761922.mp3	5040
common_voice_ko_36880204.mp3	4248
common_voice_ko_41704555.mp3	2088
common_voice_ko_40206471.mp3	6912
common_voice_ko_36890355.mp3	3708
common_voice_ko_36314697.mp3	5796
common_voice_ko_41595613.mp3	3348
common_voice_ko_35846365.mp3	4536
common_voice_ko_41799906.mp3	2700
common_voice_ko_36394265.mp3	7920
common_voice_ko_41665914.mp3	5328
common_voice_ko_41595446.mp3	1692
common_voice_ko_35850617.mp3	4680
common_voice_ko_35972008.mp3	3852
common_voice_ko_39745190.mp3	5076
common_voice_ko_35973064.mp3	9288
common_voice_ko_41762000.mp3	6876
common_voice_ko_39038390.mp3	4068
common_voice_ko_41668900.mp3	5868
common_voice_ko_41341801.mp3	6300
common_voice_ko_35969212.mp3	9900
common_voice_ko_37444306.mp3	9972
common_voice_ko_37451177.mp3	3816
common_voice_ko_41664528.mp3	5328
common_voice_ko_36880312.mp3	3600
common_voice_ko_41683927.mp3	3276
common_voice_ko_36899354.mp3	8208
common_voice_ko_38203597.mp3	3600
common_voice_ko_36525288.mp3	7812
common_voice_ko_36314589.mp3	4140
common_voice_ko_39571275.mp3	7164
common_voice_ko_36545210.mp3	4824
common_voice_ko_40623847.mp3	4356
common_voice_ko_41797762.mp3	4320
common_voice_ko_40901303.mp3	6552
common_voice_ko_35846098.mp3	4356
common_voice_ko_42194400.mp3	2088
common_voice_ko_40623826.mp3	3780
common_voice_ko_35890925.mp3	7452
common_voice_ko_41668849.mp3	4932
common_voice_ko_41799583.mp3	8892
common_voice_ko_41670942.mp3	5400
common_voice_ko_35845212.mp3	3348
common_voice_ko_36524855.mp3	4572
common_voice_ko_36412915.mp3	8316
common_voice_ko_40549471.mp3	2268
common_voice_ko_39745016.mp3	5148
common_voice_ko_37195150.mp3	7452
common_voice_ko_35890700.mp3	9504
common_voice_ko_41665020.mp3	2628
common_voice_ko_36524890.mp3	4500
common_voice_ko_40549123.mp3	3168
common_voice_ko_41668903.mp3	2376
common_voice_ko_38383624.mp3	7488
common_voice_ko_36890543.mp3	6696
common_voice_ko_39968143.mp3	4824
common_voice_ko_42194393.mp3	4788
common_voice_ko_41684722.mp3	3240
common_voice_ko_40495331.mp3	2412
common_voice_ko_41742974.mp3	4536
common_voice_ko_37451136.mp3	8316
common_voice_ko_36890300.mp3	9180
common_voice_ko_41683958.mp3	2556
common_voice_ko_35848520.mp3	6408
common_voice_ko_35845741.mp3	6948
common_voice_ko_38998423.mp3	3924
common_voice_ko_41341797.mp3	3420
common_voice_ko_40549570.mp3	2736
common_voice_ko_36545184.mp3	6012
common_voice_ko_36800766.mp3	7920
common_voice_ko_36802427.mp3	5256
common_voice_ko_36880180.mp3	6120
common_voice_ko_35905469.mp3	3060
common_voice_ko_41667887.mp3	3600
common_voice_ko_41595436.mp3	1800
common_voice_ko_38203554.mp3	7740
common_voice_ko_37553554.mp3	4716
common_voice_ko_41595612.mp3	2844
common_voice_ko_40669673.mp3	4680
common_voice_ko_35847832.mp3	9756
common_voice_ko_38203325.mp3	3960
common_voice_ko_40206111.mp3	8280
